Hogar,Sector,Zona,Comuna,DirCoordX,DirCoordY,Fecha,DiaAsig,TipoDia,Temporada,NumPer,NumVeh,NumBicAdulto,NumBicNino,Propiedad,MontoDiv,ImputadoDiv,MontoArr,ImputadoArr,IngresoHogar,Factor
123380,1,156,HUECHURABA,347883.305139895,6307213.31527299,2012-09-29 00:00:00.000000,sábado,2,1,2,0,0,0,1,NA,0,100000,0,76174,143.282470703125
123391,1,148,HUECHURABA,349415.723736,6305436.64207,2013-10-10 00:00:00.000000,jueves,1,1,5,3,2,0,1,NA,0,150000,0,1896900,87.7464904785156
123401,1,150,HUECHURABA,344494.442218256,6307532.30552938,2012-10-18 00:00:00.000000,jueves,1,1,3,0,0,0,1,NA,0,100000,0,430000,135.526245117188
123410,1,149,HUECHURABA,348224.571184,6307503.71423,2013-06-05 00:00:00.000000,miércoles,1,1,7,0,2,2,1,NA,0,100000,0,1164935,158.754318237305
123421,1,150,HUECHURABA,344955.15,6309544.9,2013-10-10 00:00:00.000000,jueves,1,1,2,0,1,0,1,NA,0,120000,0,211866,133.868469238281
123431,1,154,HUECHURABA,343006.31181743,6307621.77867844,2012-10-03 00:00:00.000000,miércoles,1,1,3,1,0,0,1,NA,0,140000,0,680000,103.993278503418
123441,1,154,HUECHURABA,343826.305944746,6307685.4929302,2013-04-08 00:00:00.000000,lunes,1,1,2,1,0,0,1,NA,0,170000,0,2798896,102.721229553223
123451,1,144,HUECHURABA,347284.901335133,6306125.05874987,2013-02-01 00:00:00.000000,viernes,1,2,6,0,0,2,1,NA,0,145000,0,700000,187.540344238281
123461,1,148,HUECHURABA,349044.892674275,6305670.31786229,2013-02-01 00:00:00.000000,viernes,1,2,3,0,0,0,5,NA,0,150000,0,250000,87.3214797973633
123471,1,148,HUECHURABA,349360.539122,6305616.14069,2013-09-30 00:00:00.000000,lunes,1,1,4,1,2,0,1,NA,0,140000,0,658370,60.8079681396484
